Camera,X,Y,Tipo_Vegt,Temporada
PECT1_MF8,4783436.457,2178777.184,Bosque,Seca
PECT10_MF8,4784070.843,2177719.041,Bosque,Seca
PECT2_MF8,4782852.538,2179081.907,Bosque,Seca
PECT3_MF8,4782916.518,2179333.773,Bosque,Seca
PECT4_MF8,4783016.446,2179405.303,Bosque,Seca
PECT5_MF8,4784221.626,2177427.765,Bosque,Seca
PECT6_MF8,4784221.137,2177280.721,SelvaAlta,Seca
PECT7_MF8,4784232.65,2177078.357,Bosque,Seca
PECT8_MF8,4784064.479,2177137.512,Bosque,Seca
PECT9_MF8,4784069.384,2177280.12,SelvaAlta,Seca
PSCT11_MF8,4784816.221,2174343.37,Ripario,Seca
PSCT12_MF8,4785131.21352183,2174223.30969277,Regen,Seca
PSCT13_MF8,4785390.365,2174448.723,Matorral,Seca
PSCT14_MF8,4785887.177,2174955.666,Regen,Seca
PSCT15_MF8,4785903.452,2174514.48,Bosque,Seca
PSCT16_MF8,4785094.396,2175057.778,Matorral,Seca
PSCT17_MF8,4784853.97340137,2175068.22917623,Bgaleria,Seca
PSCT18_MF8,4784460.063,2175173.749,Matorral,Seca
PSCT19_MF8,4784328.883,2175366.558,Bosque,Seca
PSCT20_MF8,4784520.741,2175434.471,Matorral,Seca
PECT1_MF9,4783252.1476964,2178972.13116214,Bosque,Humeda
PECT10_MF9,4783705.27978068,2177453.82441785,SelvaAlta,Humeda
PECT2_MF9,4782943.00196711,2179195.21833872,Bosque,Humeda
PECT3_MF9,4782743.31604054,2179055.58733892,Bosque,Humeda
PECT4_MF9,4783067.16112507,2178594.93266799,Bosque,Humeda
PECT5_MF9,4783315.83789924,2178491.36032712,Bosque,Humeda
PECT6_MF9,4784535.43840023,2177141.74023658,SelvaAlta,Humeda
PECT7_MF9,4784389.63031286,2177228.39273098,Matorral,Humeda
PECT8_MF9,4784298.45638332,2177102.75714622,Bosque,Humeda
PECT9_MF9,4784096.95976818,2177417.16877452,SelvaAlta,Humeda
PSCT11_MF9,4785146.62895975,2174198.95512939,Regen,Humeda
PSCT12_MF9,4784997.87086296,2174400.50402099,Regen,Humeda
PSCT13_MF9,4785247.88432358,2174361.01509787,Matorral,Humeda
PSCT14_MF9,4785343.10697301,2174371.7487626,Ripario,Humeda
PSCT15_MF9,4785361.94646048,2174042.48130791,Ripario,Humeda
PSCT16_MF9,4785672.50972825,2174240.3090248,Regen,Humeda
PSCT17_MF9,4785712.8451437,2174389.31292005,Bosque,Humeda
PSCT18_MF9,4785811.11579413,2174654.12136285,Bosque,Humeda
PSCT19_MF9,4785919.20940651,2174539.98081343,Ripario,Humeda
PSCT20_MF9,4786080.1790237,2174686.37915453,Bosque,Humeda
PECT1_MF10,4782811.7107,2179128.4796,Bosque,Trans
PECT10_MF10,4783254.3559,2178342.0112,Bosque,Trans
PECT2_MF10,4782989.0737,2179500.4777,Bosque,Trans
PECT3_MF10,4783179.2825,2179409.1799,Bosque,Trans
PECT4_MF10,4783150.7674,2178832.1446,Bosque,Trans
PECT5_MF10,4784362.8992,2176940.8291,Bosque,Trans
PECT6_MF10,4784187.8522,2177264.2475,Bosque,Trans
PECT7_MF10,4783806.0159,2177956.7443,Bosque,Trans
PECT8_MF10,4783380.1113,2177954.6265,Bosque,Trans
PECT9_MF10,4784412.9348,2177198.4906,Bosque,Trans
PSCT11_MF10,4784575.7804,2175061.7005,Regen,Trans
PSCT12_MF10,4784550.834,2174987.7074,Regen,Trans
PSCT13_MF10,4784879.0941,2175202.9902,Matorral,Trans
PSCT14_MF10,4785111.8158,2175133.6754,Matorral,Trans
PSCT15_MF10,4784949.6358,2174491.6341,Matorral,Trans
PSCT16_MF10,4785650.8533,2174502.0418,Matorral,Trans
PSCT17_MF10,4785636.9439,2174988.5507,Regen,Trans
PSCT18_MF10,4785216.1359,2174352.0036,Bosque,Trans
PSCT19_MF10,4785498.0412,2174180.8145,Regen,Trans
PSCT20_MF10,4785114.8203,2174532.55,Regen,Trans
PECT1_MF11,4783076.31912,2179059.59763,Bosque,Humeda
PECT10_MF11,4783690.78071,2177679.39885,VegSec,Humeda
PECT2_MF11,4782621.43617,2179068.41942,Bosque,Humeda
PECT3_MF11,4782691.10806,2178903.4487,Bosque,Humeda
PECT4_MF11,4783201.14635,2179322.86881,Bosque,Humeda
PECT5_MF11,4783090.75862,2178773.74783,Bosque,Humeda
PECT6_MF11,4783232.15858,2178328.81798,Bosque,Humeda
PECT7_MF11,4784268.96402,2177006.37163,Selva,Humeda
PECT8_MF11,4784234.24182,2177224.29154,Selva,Humeda
PECT9_MF11,4783988.1373,2177497.08903,VegSec,Humeda
PSCT11_MF11,4784498.61268,2174771.95525,Regen,Humeda
PSCT12_MF11,4784512.44821,2174936.31301,VegSec,Humeda
PSCT13_MF11,4784489.50191,2175299.91181,VegSec,Humeda
PSCT14_MF11,4784719.31768,2175457.58542,VegSec,Humeda
PSCT15_MF11,4785128.86008,2174423.0493,Selva,Humeda
PSCT16_MF11,4785233.14645,2174135.24998,VegSec,Humeda
PSCT17_MF11,4784730.62201,2174586.88515,VegSec,Humeda
PSCT18_MF11,4785471.83304,2174699.9794,VegSec,Humeda
PSCT19_MF11,4785682.13221,2174919.30227,Selva,Humeda
PSCT20_MF11,4785774.53685,2174723.63963,Ripario,Humeda
